"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
660741694949-92,"Liberale Rabbinervereinigung e.V.",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/liberale-rabbinervereinigung-ev?rid=660741694949-92
661039414862-59,"International Federation of the Phonographic Industry-Hellenic National Group",1,10000,"Promotes their own interests or the collective interests of their members",GREECE,GREECE,,2,2,https://www.lobbyfacts.eu/datacard/international-federation-of-the-phonographic-industry-hellenic-national-group?rid=661039414862-59
661259698867-49,"Centar za tehnološke inovacije i investicije doo",0.1,10000,"Promotes their own interests or the collective interests of their members",BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,,,,https://www.lobbyfacts.eu/datacard/centar-za-tehnološke-inovacije-i-investicije-doo?rid=661259698867-49
661302251156-43,"Bank Policy Institute",0.25,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,4,https://www.lobbyfacts.eu/datacard/bank-policy-institute?rid=661302251156-43
661506113415-19,"Bremer Baumwollboerse",0.35,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bremer-baumwollboerse?rid=661506113415-19
661642999189-22,ELWAVE,0.1,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/elwave?rid=661642999189-22
662561951167-22,"Innofactor Oyj",0.1,10000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/innofactor-oyj?rid=662561951167-22
662891094141-54,"Project Liberty Institute",0.2,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,1,https://www.lobbyfacts.eu/datacard/project-liberty-institute?rid=662891094141-54
663343647377-20,"Reinhard Grindel",0.1,10000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/reinhard-grindel?rid=663343647377-20
663598947751-59,"Vereinigung Österreichischer Elektrizitätswerke",0.1,10000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/vereinigung-österreichischer-elektrizitätswerke?rid=663598947751-59
664449544053-81,"Drug Policy Network South East Europe",0.25,10000,"Promotes their own interests or the collective interests of their members",SERBIA,SERBIA,,,,https://www.lobbyfacts.eu/datacard/drug-policy-network-south-east-europe?rid=664449544053-81
665106096817-70,VECTURIS,0.1,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,4,https://www.lobbyfacts.eu/datacard/vecturis?rid=665106096817-70
66554994595-42,"Bundesverband der Dienstleistungswirtschaft",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-der-dienstleistungswirtschaft?rid=66554994595-42
6664731101780-03,"VETTO Kft.",0.1,10000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/vetto-kft?rid=6664731101780-03
666493594970-53,"The Partners Beratungsgesellschaft mbH",0.1,10000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/the-partners-beratungsgesellschaft-mbh?rid=666493594970-53
666636798087-06,"Agentur für Innovation in der Cybersicherheit GmbH",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,1,1,1,https://www.lobbyfacts.eu/datacard/agentur-für-innovation-in-der-cybersicherheit-gmbh?rid=666636798087-06
667067598354-87,"GESTAIR SAU",0.3,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/gestair-sau?rid=667067598354-87
6671734101000-40,PYREG,0.1,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/pyreg?rid=6671734101000-40
6676559101044-17,"Deutscher Energieholz- und Pellet-Verband",0.3,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/deutscher-energieholz--und-pellet-verband?rid=6676559101044-17
667669223121-24,"Verbände der Holz- und Möbelindustrie Nordrhein-Westfalen e.V.",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/verbände-der-holz--und-möbelindustrie-nordrhein-westfalen-ev?rid=667669223121-24
667674799787-90,"Federation of the Swiss Watch Industry FH",0.2,10000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/federation-of-the-swiss-watch-industry-fh?rid=667674799787-90
6678051101610-33,"Road Haulage Association",0.1,10000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,2,https://www.lobbyfacts.eu/datacard/road-haulage-association?rid=6678051101610-33
667900928306-59,"Syndicat des Régies Internet",0.25,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/syndicat-des-régies-internet?rid=667900928306-59
668227152025-28,"Scholz Recycling Polska sp. z o.o.",0.1,10000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/scholz-recycling-polska-sp-z-oo?rid=668227152025-28
668461595549-62,"Nextdoor Holdings, Inc.",0.2,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES",IRELAND,,,,https://www.lobbyfacts.eu/datacard/nextdoor-holdings-inc?rid=668461595549-62
6685127103440-15,"Onventure Oy",0.1,10000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/onventure-oy?rid=6685127103440-15
668712822914-86,"FIDE-Federation of the European Dental Industry",0.1,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/fide-federation-of-the-european-dental-industry?rid=668712822914-86
6689261100449-96,"European Logistics Platform",0.3,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-logistics-platform?rid=6689261100449-96
668961828997-97,"Ballard Power Systems Europe A/S",0.1,10000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,3,1,https://www.lobbyfacts.eu/datacard/ballard-power-systems-europe-a-s?rid=668961828997-97
670204199630-80,"EVE Germany",0.3,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/eve-germany?rid=670204199630-80
670235597161-59,"Richter Gedeon Nyrt.",2,10000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,2,https://www.lobbyfacts.eu/datacard/richter-gedeon-nyrt?rid=670235597161-59
6705535102503-35,"Stift. Riksbankens Jubileumsfond",0.1,10000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,1,https://www.lobbyfacts.eu/datacard/stift-riksbankens-jubileumsfond?rid=6705535102503-35
6707933101277-24,"Mubadala Investment Company PJSC",0.5,10000,"Promotes their own interests or the collective interests of their members","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES",,,1,https://www.lobbyfacts.eu/datacard/mubadala-investment-company-pjsc?rid=6707933101277-24
671209448723-58,"European Society of Association Executives",0.2,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-society-of-association-executives?rid=671209448723-58
67121282947-77,"GIGLIO & Partners",0.5,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/giglio--partners?rid=67121282947-77
671469692148-27,"ICCCAT GmbH",0.25,10000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/icccat-gmbh?rid=671469692148-27
671483895381-07,"Spanish Green Growth Group",0.45,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,1,,https://www.lobbyfacts.eu/datacard/spanish-green-growth-group?rid=671483895381-07
671513299701-75,"Alder Renewables",0.1,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/alder-renewables?rid=671513299701-75
671528451781-83,"Dorotheum GmbH & Co KG",0.2,10000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/dorotheum-gmbh--co-kg?rid=671528451781-83
6716856101812-15,SOLUTRANS,0.25,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/solutrans?rid=6716856101812-15
671978799123-96,"DPTU AKRON Ltd export-import Skopje",0.1,10000,"Promotes their own interests or the collective interests of their members","NORTH MACEDONIA","NORTH MACEDONIA",,,,https://www.lobbyfacts.eu/datacard/dptu-akron-ltd-export-import-skopje?rid=671978799123-96
672145099649-93,"DYPALL Network",0.2,10000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/dypall-network?rid=672145099649-93
672190649894-04,"GESTEGICA, SL",0.65,10000,"Advances interests of their clients",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/gestegica-sl?rid=672190649894-04
673332298305-44,"Asociación Nacional de Fabricantes de Materiales Aislantes",0.35,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-nacional-de-fabricantes-de-materiales-aislantes?rid=673332298305-44
6740947100124-78,"AANDP EXPORT-IMPORT LTD",0.2,10000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/aandp-export-import-ltd?rid=6740947100124-78
6746832103526-38,"THE NATIONAL ASSOCIATION OF INSURANCE AND REINSURANCE COMPANIES IN ROMANIA",0.1,10000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,1,https://www.lobbyfacts.eu/datacard/the-national-association-of-insurance-and-reinsurance-companies-in-romania?rid=6746832103526-38
674843924563-59,"Nagel-Group Logistics SE",0.35,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/nagel-group-logistics-se?rid=674843924563-59
674980645277-04,"Assocantuccini, Consorzio per la Tutela dei Cantuccini Toscani IGP",0.85,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/assocantuccini-consorzio-per-la-tutela-dei-cantuccini-toscani-igp?rid=674980645277-04
675011092393-57,"Car Rental Council of Ireland",0.25,10000,"Promotes their own interests or the collective interests of their members",IRELAND,IRELAND,,1,,https://www.lobbyfacts.eu/datacard/car-rental-council-of-ireland?rid=675011092393-57
675050899350-57,Inrete,0.3,10000,"Advances interests of their clients",ITALY,ITALY,1,1,,https://www.lobbyfacts.eu/datacard/inrete?rid=675050899350-57
675236935781-81,"Esbit Compagnie",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/esbit-compagnie?rid=675236935781-81
675639823872-43,"European Federation for Primatology",0.25,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/european-federation-for-primatology?rid=675639823872-43
6762781101482-04,"Alliance to Zero",0.3,10000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/alliance-to-zero?rid=6762781101482-04
6763844101114-30,"Hideez Development",0.2,10000,"Promotes their own interests or the collective interests of their members",UKRAINE,UKRAINE,,,,https://www.lobbyfacts.eu/datacard/hideez-development?rid=6763844101114-30
677076839630-37,"European Startup Prize for mobility",0.5,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-startup-prize-for-mobility?rid=677076839630-37
677743413396-10,"European Federation of Tourist Guide Associations",0.25,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/european-federation-of-tourist-guide-associations?rid=677743413396-10
6779695102976-47,"Slovenská asociácia správcovských spoločností",0.1,10000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,1,https://www.lobbyfacts.eu/datacard/slovenská-asociácia-správcovských-spoločností?rid=6779695102976-47
677981949837-70,"Verband Metallverpackungen e. V.",0.2,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/verband-metallverpackungen-e-v?rid=677981949837-70
678268014268-36,"AIPROF - Associazione Italiana Professionisti Formatori",0.5,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/aiprof---associazione-italiana-professionisti-formatori?rid=678268014268-36
678496952704-69,"Bundesverband der Pharmaziestudierenden in Deutschland e. V.",0.1,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-der-pharmaziestudierenden-in-deutschland-e-v?rid=678496952704-69
6786510101531-32,"Mezőgazdasági Szövetkezők és Termelők Országos Szövetsége",0.35,10000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,1,https://www.lobbyfacts.eu/datacard/mezőgazdasági-szövetkezők-és-termelők-országos-szövetsége?rid=6786510101531-32
6790191102584-65,KARAVELA,0.1,10000,"Promotes their own interests or the collective interests of their members",LATVIA,LATVIA,,,1,https://www.lobbyfacts.eu/datacard/karavela?rid=6790191102584-65
6791686103499-73,"Blue Foot Membranes NV",0.1,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/blue-foot-membranes-nv?rid=6791686103499-73
679263194986-07,"Epoch Blue Ltd",0.25,10000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,2,https://www.lobbyfacts.eu/datacard/epoch-blue-ltd?rid=679263194986-07
679444829853-73,"Banco Primus, S.A.",0.3,10000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/banco-primus-sa?rid=679444829853-73
679523249026-20,"Hafslund AS",0.1,10000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,,,2,https://www.lobbyfacts.eu/datacard/hafslund-as?rid=679523249026-20
680226127713-85,"Ecolog International",0.25,10000,"Promotes their own interests or the collective interests of their members","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES",,,2,https://www.lobbyfacts.eu/datacard/ecolog-international?rid=680226127713-85
6803226103561-72,"Fédération nationale Familles Rurales",0.1,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/fédération-nationale-familles-rurales?rid=6803226103561-72
680714550341-40,"Kreditschutzverband von 1870",0.1,10000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/kreditschutzverband-von-1870?rid=680714550341-40
6807774102518-27,"Arbeitsgemeinschaft Die Moderne Küche e.V.",0.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/arbeitsgemeinschaft-die-moderne-küche-ev?rid=6807774102518-27
680887022312-46,"Suomen tietokirjailijat ry",0.5,10000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/suomen-tietokirjailijat-ry?rid=680887022312-46
680982095581-82,"Füllner & Partner GmbH",0.2,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/füllner--partner-gmbh?rid=680982095581-82
681141893985-27,"Decalex Digital SRL",2.5,10000,"Advances interests of their clients",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/decalex-digital-srl?rid=681141893985-27
6814145101034-58,"Comité de Plasticulture et de l'Agroenvironnement",0.2,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/comité-de-plasticulture-et-de-lagroenvironnement?rid=6814145101034-58
681646333675-05,Nevi,0.1,10000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/nevi?rid=681646333675-05
68184848165-11,"International cosmetic and device association eV",1.25,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/international-cosmetic-and-device-association-ev?rid=68184848165-11
682200450554-82,"ITCARD S.A.",0.2,10000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,1,https://www.lobbyfacts.eu/datacard/itcard-sa?rid=682200450554-82
682260397313-89,BAS4ICT,0.1,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/bas4ict?rid=682260397313-89
6823387102042-32,"Närrische Europäische Gemeinschaft- Zentralbüro für fastnachtliches Brauchtum e.V:",0.5,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/närrische-europäische-gemeinschaft--zentralbüro-für-fastnachtliches-brauchtum-ev?rid=6823387102042-32
682472350256-25,Assotelecomunicazioni,1,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,1,1,2,https://www.lobbyfacts.eu/datacard/assotelecomunicazioni?rid=682472350256-25
68334768334-73,"Vereniging Verticaal Transport",0.2,10000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/vereniging-verticaal-transport?rid=68334768334-73
683513592871-32,"Recykl Organizacja Odzysku S.A.",0.1,10000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/recykl-organizacja-odzysku-sa?rid=683513592871-32
683687649992-17,"Air Arabia PJSC",0.3,10000,"Promotes their own interests or the collective interests of their members","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES",,,,https://www.lobbyfacts.eu/datacard/air-arabia-pjsc?rid=683687649992-17
683747350649-46,"FF Frontier Fuels GmbH",0.1,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/ff-frontier-fuels-gmbh?rid=683747350649-46
6838472103471-20,Hexacore,0.1,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/hexacore?rid=6838472103471-20
683878351805-07,"CRO STARTUP ECOSYSTEM for promotion of innovation",0.2,10000,"Promotes their own interests or the collective interests of their members",CROATIA,CROATIA,,,1,https://www.lobbyfacts.eu/datacard/cro-startup-ecosystem-for-promotion-of-innovation?rid=683878351805-07
683904749570-06,"Istanbul Settlement and Custody Bank Inc.",1.5,10000,"Promotes their own interests or the collective interests of their members",TURKEY,TURKEY,,,,https://www.lobbyfacts.eu/datacard/istanbul-settlement-and-custody-bank-inc?rid=683904749570-06
684068617008-71,"ΕΝΩΣΗ ΘΕΣΜΙΚΩΝ ΕΠΕΝΔΥΤΩΝ - HELLENIC FUND AND ASSET MANAGEMENT ASSOCIATION",0.35,10000,"Promotes their own interests or the collective interests of their members",GREECE,GREECE,,,2,https://www.lobbyfacts.eu/datacard/ενωση-θεσμικων-επενδυτων---hellenic-fund-and-asset-management-association?rid=684068617008-71
684103950166-21,"Organisation Internationale du Tourisme Social",1.5,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/organisation-internationale-du-tourisme-social?rid=684103950166-21
684269299471-10,"De Samvirkende Købmænd",0.1,10000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,1,https://www.lobbyfacts.eu/datacard/de-samvirkende-købmænd?rid=684269299471-10
684281411855-42,"Aviation Environment Federation",0.1,10000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/aviation-environment-federation?rid=684281411855-42
684769896258-54,"ALFARIVER DEFENSE SL",0.25,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/alfariver-defense-sl?rid=684769896258-54
685041092444-13,"Information Technology for Public Transport",0.4,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/information-technology-for-public-transport?rid=685041092444-13
685142150246-06,"Waterise B.V.",0.2,10000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,3,3,https://www.lobbyfacts.eu/datacard/waterise-bv?rid=685142150246-06
6853582101878-07,"Agri Advanced Technologies GmbH",0.2,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/agri-advanced-technologies-gmbh?rid=6853582101878-07
6858181102479-24,"Gaza Chamber of Commerce & Industry",0.2,10000,"Promotes their own interests or the collective interests of their members","PALESTINE (*)","PALESTINE (*)",,,,https://www.lobbyfacts.eu/datacard/gaza-chamber-of-commerce--industry?rid=6858181102479-24
685873935918-08,"Polski Związek Instytucji Pożyczkowych",0.75,10000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/polski-związek-instytucji-pożyczkowych?rid=685873935918-08
6865737103554-97,"Werner & Mertz",0.2,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/werner--mertz?rid=6865737103554-97
686628049923-10,"ELTA - European LGBTQ+ Travel Alliance",1.25,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,ITALY,,2,,https://www.lobbyfacts.eu/datacard/elta---european-lgbtq-travel-alliance?rid=686628049923-10
686666399514-64,CoMotion,0.2,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/comotion?rid=686666399514-64
686886637952-42,EjendomDanmark,0.1,10000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/ejendomdanmark?rid=686886637952-42
686987020139-41,"Umanotera, The Slovenian Foundation for Sustainable Development",0.2,10000,"Promotes their own interests or the collective interests of their members",SLOVENIA,SLOVENIA,,,,https://www.lobbyfacts.eu/datacard/umanotera-the-slovenian-foundation-for-sustainable-development?rid=686987020139-41
687013997606-92,"Magyar Leszbikus, Meleg, Biszexuális és Transznemű Szövetség",0.5,10000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/magyar-leszbikus-meleg-biszexuális-és-transznemű-szövetség?rid=687013997606-92
6872156102187-39,"Association Ambassador",0.6,10000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/association-ambassador?rid=6872156102187-39
6872649103341-09,"FEDERAZIONE AGRICOLA  DELLA PESCA E DELL'ACQUACOLTURA",0.1,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/federazione-agricola--della-pesca-e-dellacquacoltura?rid=6872649103341-09
687914842434-55,"Asociación Estatal De Empresas Operadoras Portuarias",0.25,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,3,https://www.lobbyfacts.eu/datacard/asociación-estatal-de-empresas-operadoras-portuarias?rid=687914842434-55
6881101101197-78,"GEA Liquid Technologies Germany",0.1,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/gea-liquid-technologies-germany?rid=6881101101197-78
6881593101371-92,"CORSICA SOLE",0.1,10000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,1,https://www.lobbyfacts.eu/datacard/corsica-sole?rid=6881593101371-92
688928999782-74,"EPEA BV",0.2,10000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/epea-bv?rid=688928999782-74
6889828101278-78,"ASOCIACIÓN PARA EL DESARROLLO DE LA PROPIEDAD INTELECTUAL",0.2,10000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/asociación-para-el-desarrollo-de-la-propiedad-intelectual?rid=6889828101278-78
689330538617-12,"Polski Związek Zarządzania Wierzytelnościami",0.25,10000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/polski-związek-zarządzania-wierzytelnościami?rid=689330538617-12
689656499005-28,"Studen Global SEE LTD Brčko",0.4,10000,"Promotes their own interests or the collective interests of their members",BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,,,,https://www.lobbyfacts.eu/datacard/studen-global-see-ltd-brčko?rid=689656499005-28
689730746555-77,"ERM Coalition",0.5,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/erm-coalition?rid=689730746555-77
690584245053-51,"Alpine Tremont LLC",0.1,10000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/alpine-tremont-llc?rid=690584245053-51
69063914634-64,"European Network for Accreditation of Engineering Education",0.25,10000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-network-for-accreditation-of-engineering-education?rid=69063914634-64
6907454103124-69,"H2ovortex Sarl",0.25,10000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,LUXEMBOURG,,,1,https://www.lobbyfacts.eu/datacard/h2ovortex-sarl?rid=6907454103124-69
691041532109-03,"European Business Chamber in Trinidad and Tobago",0.5,10000,"Promotes their own interests or the collective interests of their members","TRINIDAD AND TOBAGO","TRINIDAD AND TOBAGO",,,,https://www.lobbyfacts.eu/datacard/european-business-chamber-in-trinidad-and-tobago?rid=691041532109-03
691435192089-03,"Coop Alleanza3.0",0.1,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,2,https://www.lobbyfacts.eu/datacard/coop-alleanza30?rid=691435192089-03
691524528758-45,"Asociación Civil Eurocámara – Conferedación de Cámaras de Comercio de la Unión Europea en Argentina",0.5,10000,"Promotes their own interests or the collective interests of their members",ARGENTINA,ARGENTINA,,,1,https://www.lobbyfacts.eu/datacard/asociación-civil-eurocámara-–-conferedación-de-cámaras-de-comercio-de-la-unión-europea-en-argentina?rid=691524528758-45
6919512100965-95,"Green Therma",0.3,10000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/green-therma?rid=6919512100965-95
692157198524-25,"Strombus Üzleti Tanácsadó Korlátolt Felelősségű Társaság",0.1,10000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/strombus-üzleti-tanácsadó-korlátolt-felelősségű-társaság?rid=692157198524-25
692221553164-84,"CPA Italian Chemical Pharmaceutical Association",0.2,10000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/cpa-italian-chemical-pharmaceutical-association?rid=692221553164-84
692241814329-30,"Association of the Northwestern Textile and Clothing Industry",0.3,10000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/association-of-the-northwestern-textile-and-clothing-industry?rid=692241814329-30
